date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:21:39	345973/345973	---MCZ	200	added ('OK')	text/html	etag:%222480-1764863019;gz%22	https://srtechops.com/	C:/Users/91998/OneDrive/Desktop/rtops/RTOPS/srtechops.com/index.html	(from )
11:21:41	348982/348982	---M-Z	200	added ('OK')	application/rss+xml	etag:%2226f1dd8b5cdd27c95c45539687383ece%22	https://srtechops.com/feed/	C:/Users/91998/OneDrive/Desktop/rtops/RTOPS/srtechops.com/feed/index.html	(from https://srtechops.com/)
11:21:41	47264/47264	---M-Z	200	added ('OK')	text/css	etag:%22b8a0-652917b0-3632f87cdc47a72d;gz%22	https://srtechops.com/wp-content/themes/astra/assets/css/minified/frontend.min.css?ver=4.3.1	C:/Users/91998/OneDrive/Desktop/rtops/RTOPS/srtechops.com/wp-content/themes/astra/assets/css/minified/frontend.min5b31.css	(from https://srtechops.com/)
11:21:41	4547/4547	---M-Z	200	added ('OK')	text/css	etag:%2211c3-693030ea-e2affd74e2449fca;gz%22	https://srtechops.com/wp-content/cache/autoptimize/css/autoptimize_single_311f388f465c449d3743467dd49ca430.css?ver=6.6.9.6	C:/Users/91998/OneDrive/Desktop/rtops/RTOPS/srtechops.com/wp-content/cache/autoptimize/css/autoptimize_single_311f388f465c449d3743467dd49ca430f52f.css	(from https://srtechops.com/)
11:21:41	49773/49773	---M-Z	200	added ('OK')	text/css	etag:%22c26d-69315f56-fc267d38439b8480;gz%22	https://srtechops.com/wp-content/uploads/premium-addons-elementor/pa-frontend-7ba7e887c.min.css?ver=1764863018	C:/Users/91998/OneDrive/Desktop/rtops/RTOPS/srtechops.com/wp-content/uploads/premium-addons-elementor/pa-frontend-7ba7e887c.min8427.css	(from https://srtechops.com/)
11:21:41	3304/3304	---M--	200	added ('OK')	application/font-woff	etag:%22ce8-652917b0-e065bd60b89e7d64;;;%22	https://srtechops.com/wp-content/themes/astra/assets/fonts/astra.woff	C:/Users/91998/OneDrive/Desktop/rtops/RTOPS/srtechops.com/wp-content/themes/astra/assets/fonts/astra.woff	(from https://srtechops.com/)
11:21:42	114706/114706	---M-Z	200	added ('OK')	text/css	etag:%221c012-67cad5a3-a480840c93cdd81;gz%22	https://srtechops.com/wp-includes/css/dist/block-library/style.min.css?ver=6.7.2	C:/Users/91998/OneDrive/Desktop/rtops/RTOPS/srtechops.com/wp-includes/css/dist/block-library/style.mind1c0.css	(from https://srtechops.com/)
11:21:42	54532/54532	---M-Z	200	added ('OK')	text/css	etag:%22d504-693030ea-1481ef48e2867a71;gz%22	https://srtechops.com/wp-content/cache/autoptimize/css/autoptimize_single_b8bfe1d3930ef0a700f5dfec1dd310df.css?ver=6.6.9.6	C:/Users/91998/OneDrive/Desktop/rtops/RTOPS/srtechops.com/wp-content/cache/autoptimize/css/autoptimize_single_b8bfe1d3930ef0a700f5dfec1dd310dff52f.css	(from https://srtechops.com/)
11:21:42	30053/30053	---M-Z	200	added ('OK')	text/css	etag:%227565-693030ea-e848c8b5b1a44c2e;gz%22	https://srtechops.com/wp-content/cache/autoptimize/css/autoptimize_single_7804a29e16ee7f15e31c248a1d72a871.css?ver=2.9.48	C:/Users/91998/OneDrive/Desktop/rtops/RTOPS/srtechops.com/wp-content/cache/autoptimize/css/autoptimize_single_7804a29e16ee7f15e31c248a1d72a871b3a9.css	(from https://srtechops.com/)
11:21:43	2219/2219	---M-Z	200	added ('OK')	application/rss+xml	etag:%2226f1dd8b5cdd27c95c45539687383ece%22	https://srtechops.com/comments/feed/	C:/Users/91998/OneDrive/Desktop/rtops/RTOPS/srtechops.com/comments/feed/index.html	(from https://srtechops.com/)
11:21:43	265537/265537	---M-Z	200	added ('OK')	text/css	etag:%2240d41-693030ea-6013783ae380ed2c;gz%22	https://srtechops.com/wp-content/cache/autoptimize/css/autoptimize_single_ccffc6d7ec95d16c772edfd61faacfb0.css?ver=2.9.48	C:/Users/91998/OneDrive/Desktop/rtops/RTOPS/srtechops.com/wp-content/cache/autoptimize/css/autoptimize_single_ccffc6d7ec95d16c772edfd61faacfb0b3a9.css	(from https://srtechops.com/)
11:21:43	15382/15382	---M-Z	200	added ('OK')	text/css	etag:%223c16-65299c46-5ce02e87a47af293;gz%22	https://srtechops.com/wp-content/plugins/creame-whatsapp-me/public/css/joinchat.min.css?ver=5.0.12	C:/Users/91998/OneDrive/Desktop/rtops/RTOPS/srtechops.com/wp-content/plugins/creame-whatsapp-me/public/css/joinchat.minc8ee.css	(from https://srtechops.com/)
11:21:43	17725/17725	---M-Z	200	added ('OK')	text/css	etag:%22453d-693030ea-65652d4632b7f64e;gz%22	https://srtechops.com/wp-content/cache/autoptimize/css/autoptimize_single_f22a7ebb2e559df3a47927f415ed86a9.css?ver=2.4.6	C:/Users/91998/OneDrive/Desktop/rtops/RTOPS/srtechops.com/wp-content/cache/autoptimize/css/autoptimize_single_f22a7ebb2e559df3a47927f415ed86a92f91.css	(from https://srtechops.com/)
11:21:43	6144/6144	---M-Z	200	added ('OK')	text/css	etag:%221800-693030ea-75e12e8ac502b94b;gz%22	https://srtechops.com/wp-content/cache/autoptimize/css/autoptimize_single_d6c280f1424cbd0ed62afdc7cd136712.css?ver=2.2.3	C:/Users/91998/OneDrive/Desktop/rtops/RTOPS/srtechops.com/wp-content/cache/autoptimize/css/autoptimize_single_d6c280f1424cbd0ed62afdc7cd136712950a.css	(from https://srtechops.com/)
11:21:44	117324/117324	---M-Z	200	added ('OK')	text/css	etag:%221ca4c-652917b8-ce42d630d78c8b17;gz%22	https://srtechops.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.16.5	C:/Users/91998/OneDrive/Desktop/rtops/RTOPS/srtechops.com/wp-content/plugins/elementor/assets/css/frontend-lite.min33f1.css	(from https://srtechops.com/)
11:21:44	7418/7418	---M-Z	200	added ('OK')	text/css	etag:%221cfa-67fcc84c-ff9cded2aea47a9d;gz%22	https://srtechops.com/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=6.1.10	C:/Users/91998/OneDrive/Desktop/rtops/RTOPS/srtechops.com/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min38e0.css	(from https://srtechops.com/)
11:21:44	25700/25700	---M-Z	200	added ('OK')	text/css	etag:%226464-693030eb-2cb82f872b75bcfc;gz%22	https://srtechops.com/wp-content/cache/autoptimize/css/autoptimize_single_924d2eb9d538fc0dc3e653726c4d17e3.css?ver=1762508840	C:/Users/91998/OneDrive/Desktop/rtops/RTOPS/srtechops.com/wp-content/cache/autoptimize/css/autoptimize_single_924d2eb9d538fc0dc3e653726c4d17e37ce5.css	(from https://srtechops.com/)
11:21:44	19533/19533	---M-Z	200	added ('OK')	text/css	etag:%224c4d-652917b8-6b232ae932d88021;gz%22	https://srtechops.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.23.0	C:/Users/91998/OneDrive/Desktop/rtops/RTOPS/srtechops.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min192d.css	(from https://srtechops.com/)
11:21:45	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-652917b8-d48f49b4f2e64db;gz%22	https://srtechops.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/91998/OneDrive/Desktop/rtops/RTOPS/srtechops.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://srtechops.com/)
11:21:45	112191/112191	---M-Z	200	added ('OK')	text/css	etag:%221b63f-693030eb-e0bd48f07b7def43;gz%22	https://srtechops.com/wp-content/cache/autoptimize/css/autoptimize_single_97f1f3d316f9d3a03241ec1c17fa32dd.css?ver=1763547314	C:/Users/91998/OneDrive/Desktop/rtops/RTOPS/srtechops.com/wp-content/cache/autoptimize/css/autoptimize_single_97f1f3d316f9d3a03241ec1c17fa32ddbc08.css	(from https://srtechops.com/)
